district_name,district_type,city,normed_2019,normed_2025,normed_diff,z_sort
78.9,Tax District,Washington,0.0015522724508959408,0.003046374495833227,0.0014941020449372863,-5.507997593667824e-05
79.1,Tax District,Washington,0.00234635773061365,0.0028233243479237704,0.00047696661731012023,-4.135782410230604e-05
79.3,Tax District,Washington,0.0010037131272716496,0.001092507966916326,8.879483964467638e-05,-2.5191968234139495e-05
7th Street/Georgia Avenue NW,Infrastructure District,Washington,0.018342826584363148,0.020885994010868436,0.0025431674265052884,-0.0001620197347165231
80.1,Tax District,Washington,0.0009772989619132389,0.0012044162632225805,0.00022711730130934161,-3.3799508400989e-05
80.2,Tax District,Washington,0.001203580311816958,0.0017839074160150344,0.0005803271041980764,-6.0027761037417804e-05
83.2,Tax District,Washington,0.0011945491828991776,0.0015491837257052413,0.0003546345428060637,-2.7090054800282815e-05
84.2,Tax District,Washington,0.0015395684951759433,0.0048927545248076375,0.003353186029631694,-2.7866856726177502e-05
85.1,Tax District,Washington,0.0032618223892402474,0.0033165904716228305,5.476808238258314e-05,-5.498106111190282e-05
86,Tax District,Washington,0.013391051051839737,0.008452963867092033,-0.004938087184747704,-7.344461914726708e-05
87.1,Tax District,Washington,0.0015896044712691614,0.00178361999925139,0.00019401552798222854,-3.993320092376962e-05
87.2,Tax District,Washington,0.0019086624324508035,0.003249887673475454,0.0013412252410246507,-5.255378141555411e-05
88.2,Tax District,Washington,0.0019681571953771284,0.009095436139425695,0.007127278944048567,-4.8994102371580084e-05
88.3,Tax District,Washington,0.004753820230423091,0.005901159924885177,0.0011473396944620858,-0.00011996788202850439
88.4,Tax District,Washington,0.001778880833323145,0.00291884988870228,0.001139969055379135,-8.170178330146882e-05
89.3,Tax District,Washington,0.001518915133500462,0.002843561435948596,0.0013246463024481339,-3.149409121760982e-05
89.4,Tax District,Washington,0.002461322240792638,0.0031926548892071385,0.0007313326484145004,-4.7410759407284786e-05
90.1,Tax District,Washington,0.0034682050679072972,0.004153953418689381,0.0006857483507820838,-0.00015169437824624765
90.2,Tax District,Washington,0.004569600294309146,0.0042129328125213835,-0.0003566674817877622,-0.00017803875061872532
91.1,Tax District,Washington,0.0021872186734162155,0.006492096160599172,0.004304877487182957,-0.00013900513863518427
91.2,Tax District,Washington,0.0060695475414474735,0.008188319354720771,0.002118771813273298,-0.0001872459854439512
92.1,Tax District,Washington,0.001990823064889441,0.002671922040428499,0.0006810989755390577,-6.620289764214249e-05
92.3,Tax District,Washington,0.0011167405986576874,0.00193067420698896,0.0008139336083312727,-6.400200641110132e-05
92.4,Tax District,Washington,0.00199462167343146,0.002472904355756098,0.0004782826823246378,-2.921944587797043e-05
93.2,Tax District,Washington,0.0009635384395789049,0.0014344160010837529,0.000470877561504848,-4.103441665392893e-05
95.1,Tax District,Washington,0.003495197829268797,0.005935568870255865,0.002440371040987068,-0.0001699409381217265
